iter	Passed	Remaining
735	3939	1412
736	3944	1407
737	3951	1402
738	3957	1397
739	3963	1392
740	3970	1387
741	3976	1382
742	3981	1377
743	3986	1371
744	3993	1366
745	3999	1361
746	4004	1356
747	4011	1351
748	4018	1346
749	4024	1341
750	4030	1336
751	4037	1331
752	4043	1326
753	4048	1320
754	4054	1315
755	4062	1311
756	4069	1306
757	4075	1301
758	4079	1295
759	4086	1290
760	4092	1285
761	4099	1280
762	4104	1275
763	4110	1269
764	4115	1264
765	4123	1259
766	4128	1254
767	4134	1249
768	4140	1243
769	4146	1238
770	4152	1233
771	4158	1228
772	4165	1223
773	4170	1217
774	4177	1212
775	4183	1207
776	4189	1202
777	4196	1197
778	4203	1192
779	4209	1187
780	4215	1182
781	4222	1176
782	4228	1172
783	4233	1166
784	4240	1161
785	4246	1156
786	4253	1151
787	4259	1145
788	4266	1141
789	4273	1135
790	4280	1130
791	4287	1125
792	4293	1120
793	4299	1115
794	4306	1110
795	4313	1105
796	4321	1100
797	4327	1095
798	4332	1090
799	4337	1084
800	4342	1078
801	4348	1073
802	4353	1067
803	4359	1062
804	4364	1057
805	4370	1051
806	4375	1046
807	4381	1041
808	4386	1035
809	4392	1030
810	4398	1025
811	4405	1020
812	4411	1014
813	4417	1009
814	4425	1004
815	4431	999
816	4437	993
817	4444	988
818	4451	983
819	4456	978
820	4462	972
821	4470	968
822	4476	962
823	4482	957
824	4488	952
825	4494	946
826	4501	941
827	4506	936
828	4513	930
829	4518	925
830	4523	920
831	4529	914
832	4534	909
833	4540	903
834	4546	898
835	4553	893
836	4559	888
837	4566	882
838	4573	877
839	4578	872
840	4585	866
841	4592	861
842	4599	856
843	4604	851
844	4611	845
845	4617	840
846	4623	835
847	4629	829
848	4635	824
849	4642	819
850	4646	813
851	4653	808
852	4660	803
853	4666	797
854	4671	792
855	4678	787
856	4682	781
857	4686	775
858	4692	770
859	4698	764
860	4703	759
861	4709	753
862	4714	748
863	4721	743
864	4726	737
865	4733	732
866	4740	727
867	4746	721
868	4753	716
869	4757	710
870	4764	705
871	4768	699
872	4774	694
873	4779	689
874	4787	683
875	4793	678
876	4799	673
877	4806	667
878	4811	662
879	4817	656
880	4824	651
881	4830	646
882	4837	641
883	4843	635
884	4850	630
885	4853	624
886	4860	619
887	4866	613
888	4871	608
889	4878	603
890	4883	597
891	4889	591
892	4895	586
893	4902	581
894	4908	575
895	4913	570
896	4918	564
897	4924	559
898	4930	553
899	4936	548
900	4941	542
901	4947	537
902	4955	532
903	4962	526
904	4968	521
905	4974	516
906	4979	510
907	4984	505
908	4990	499
909	4996	494
910	5002	488
911	5008	483
912	5013	477
913	5017	472
914	5022	466
915	5027	461
916	5033	455
917	5040	450
918	5046	444
919	5053	439
920	5060	434
921	5066	428
922	5071	423
923	5078	417
924	5084	412
925	5090	406
926	5095	401
927	5102	395
928	5108	390
929	5115	385
930	5121	379
931	5127	374
932	5134	368
933	5139	363
934	5146	357
935	5154	352
936	5160	346
937	5166	341
938	5172	335
939	5178	330
940	5184	325
941	5189	319
942	5194	313
943	5199	308
944	5205	302
945	5211	297
946	5217	292
947	5223	286
948	5229	281
949	5236	275
950	5243	270
951	5250	264
952	5255	259
953	5262	253
954	5268	248
955	5274	242
956	5282	237
957	5288	231
958	5293	226
959	5298	220
960	5305	215
961	5310	209
962	5316	204
963	5322	198
964	5329	193
965	5334	187
966	5339	182
967	5345	176
968	5351	171
969	5356	165
970	5364	160
971	5369	154
972	5375	149
973	5383	143
974	5388	138
975	5394	132
976	5400	127
977	5406	121
978	5412	116
979	5418	110
980	5423	105
981	5430	99
982	5433	93
983	5440	88
984	5446	82
985	5452	77
986	5458	71
987	5464	66
988	5471	60
989	5477	55
990	5483	49
991	5489	44
992	5493	38
993	5499	33
994	5505	27
995	5511	22
996	5516	16
997	5523	11
998	5530	5
999	5537	0
