id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4qE2iDO78w5uHs03R8V7FQ,0.000858,0.511,203680,0.718,3.73e-05,0.0917,-6.795,0.118,167.722,0.291
6lFKHp2pjDlbYeeqZ0olm8,0.0283,0.866,269800,0.6920000000000001,0.277,0.0977,-4.855,0.0493,125.003,0.494
74mZKvZcZzzvbOnt8NfWda,0.422,0.545,268187,0.522,0.0,0.119,-9.241,0.0341,164.86900000000003,0.446
2R7C9dDqv1UPycvepBFziA,0.0268,0.5820000000000001,275960,0.765,1.95e-06,0.103,-3.648,0.0324,131.982,0.5589999999999999
7hEbLvHSHpmMZXuuw2nmmH,0.285,0.456,214320,0.728,0.0,0.0343,-3.725,0.0435,203.962,0.7240000000000001
7IxWqdG1zG0gaAFYq2q0Iy,0.000754,0.487,221853,0.81,0.0,0.352,-4.067,0.0357,123.493,0.7020000000000001
7r6PigmGzlB3YPB7wvBBbi,0.244,0.654,272507,0.75,0.0178,0.1669999999999999,-7.508999999999999,0.105,92.773,0.557
0p3YVGafB1214KOw5AokGv,0.000552,0.388,214107,0.8909999999999999,0.0246,0.336,-3.338,0.0816,172.065,0.5329999999999999
6NV8bM1StHDcWMoTVWix1J,0.903,0.732,248454,0.462,0.0,0.176,-7.962999999999999,0.0363,121.061,0.518
21JTgoZLDB2F4Fx0uRCmTL,0.573,0.237,233480,0.269,0.000283,0.101,-9.61,0.0298,81.256,0.0681
7JSpeGJpsXuRR1Go9pBPXc,0.83,0.12,240000,0.998,0.897,0.505,-21.701,0.0755,147.787,1e-05
66mi3OKkrYHZkV9T62Ytyy,0.298,0.355,294813,0.536,0.0,0.145,-7.202000000000001,0.0461,147.878,0.265
4qQ8sToR3GNossXlwSlyKz,0.627,0.68,147293,0.258,0.0,0.293,-11.995,0.0554,132.056,0.7809999999999999
4x9Wm15FC2xCuSPgVl7X7i,0.00244,0.882,329000,0.589,0.000981,0.214,-7.604,0.0596,111.142,0.809
6z5mh42xSM54RncKZMM8hS,0.8640000000000001,0.736,182027,0.297,1.49e-05,0.0609,-9.648,0.0349,125.851,0.186
03zRY58mcXQvvwu9Iyy4a4,0.00238,0.387,198080,0.929,7.22e-06,0.314,-4.825,0.161,180.359,0.591
1ffy4Bi6ROMpZTxIWyPMKG,0.395,0.467,270053,0.557,0.0,0.118,-7.482,0.0972,175.274,0.187
47ji0KfmvI93CMDqppVj8p,0.028,0.588,186480,0.86,0.0,0.564,-4.461,0.0767,129.945,0.622
5vjR4LUikpN6LhpxRWK6k2,0.000569,0.507,174573,0.995,1.28e-05,0.0686,-2.355,0.0829,123.889,0.219
3B0hzwc1e8AYOytj9hZS2I,0.000184,0.439,265435,0.915,0.000899,0.326,-7.077999999999999,0.0745,91.993,0.34
36hZ7e1xqFtskCjKJyzaUy,0.677,0.7559999999999999,177345,0.477,7.4999999999999985e-06,0.0898,-5.99,0.0606,115.266,0.967
4Eeq5qMOQ8VV5IfPxVX1Zh,0.279,0.495,217027,0.862,3.53e-06,0.0619,-4.436,0.0746,117.895,0.762
21FyeXi7sykXk9HRlf3Aul,0.0234,0.557,228427,0.403,0.0124,0.0914,-8.947000000000003,0.0309,129.637,0.202
4Nomj38R7Ds0P8I8orW2Tv,0.0145,0.588,204013,0.847,0.0,0.436,-4.734,0.0675,99.058,0.38
2H2Tg24kqd1eA3F7BSQFSi,0.38,0.536,245133,0.457,1.27e-05,0.1689999999999999,-8.785,0.0405,165.69299999999996,0.499
