"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"438","McKinley Wright IV","Dal","G","24.4","23","12.1","15.5","18.1","16","0.688","51","0.529","21","0.333","0.521","0.544","3.7","1.7","2.1","0.3","0.2","0.7","5.5","5.8","7.6","7.8","114.6","111.5"
"439","Amir Coffey","Lac","G-F","25.8","46","13","13.5","11.3","59","0.78","103","0.427","38","0.263","0.418","0.491","3.6","1.1","1.1","0.2","0.1","0.4","4.7","4.7","5.8","5","109.1","111.5"
"440","Bryn Forbes","Min","G","29.7","25","10.7","16.2","12.6","15","1","37","0.432","46","0.304","0.446","0.497","3.6","0.6","0.7","0.3","0.1","0.5","4.2","4.2","4.8","4.3","98.6","113"
"441","Damian Jones","Uta","C","27.7","11","13.3","9.5","19.1","5","0.8","19","0.632","6","0.667","0.72","0.735","3.6","3","0.5","0.2","0.6","0.5","6.6","4.1","7.1","5.3","135.9","106.7"
"442","Markieff Morris","Bro","F","33.6","27","10.6","15.6","14.5","10","1","33","0.394","49","0.408","0.524","0.556","3.6","2.2","0.9","0.3","0.2","0.5","5.7","4.5","6.7","7.3","111","105.4"
"443","Paul Reed","Phi","F","23.8","60","10.3","15.6","18.5","37","0.703","159","0.591","4","0","0.577","0.597","3.6","3.5","0.3","0.6","0.7","0.6","7","3.9","7.4","6","120","92.8"
"444","Matt Ryan","Min","F","25.9","21","8.4","15.7","6.4","7","0.857","10","0.6","48","0.396","0.595","0.614","3.6","0.6","0.5","0.1","0","0.2","4.1","4.1","4.7","4.9","121.2","114.1"
"445","Furkan Korkmaz","Phi","G-F","25.7","31","9.1","19.2","18.5","30","0.667","51","0.471","37","0.351","0.494","0.529","3.5","1","0.6","0.2","0.1","0.6","4.5","4.1","5.1","5.6","97.4","113.8"
"446","Kenneth Lofton Jr.","Mem","F","20.6","18","5.3","26.9","8.7","11","0.545","40","0.525","12","0.417","0.548","0.554","3.5","1.4","0.9","0.2","0.1","0.3","4.9","4.4","5.8","12.4","119.4","93.9"
"447","Jericho Sims","Nyk","C","24.4","49","15.8","7.6","19.9","16","0.75","103","0.777","1","0","0.769","0.774","3.5","4.7","0.5","0.3","0.6","0.5","8.2","4","8.7","5.1","145.2","103.6"
