"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","60","34.7","37.3","14.6","715","0.856","1035","0.583","181","0.343","0.572","0.655","33.4","10.2","4.2","1.1","1.7","3.5","43.6","37.6","47.8","13","124.5","103.2"
"2","Luka Doncic","Dal","F-G","24.1","59","36.4","38.2","14.3","649","0.735","835","0.587","472","0.343","0.561","0.61","32.9","8.6","8.2","1.4","0.5","3.7","41.5","41.1","49.7","14.5","120.1","108.7"
"3","Damian Lillard","Por","G","32.7","58","36.3","33.9","13.7","558","0.914","544","0.574","658","0.371","0.564","0.645","32.2","4.8","7.3","0.9","0.3","3.3","36.9","39.5","44.3","11.5","127","116.8"
"4","Shai Gilgeous-Alexander","Okc","G-F","24.7","63","35.5","32.9","12.4","671","0.905","1128","0.532","156","0.353","0.532","0.624","31.3","4.8","5.5","1.7","1","2.9","36.1","36.8","41.6","10.6","124.4","109.7"
"5","Giannis Antetokounmpo","Mil","F","28.3","58","32.2","38.7","16.1","718","0.646","1017","0.59","162","0.29","0.569","0.604","31.1","11.8","5.6","0.7","0.8","3.9","42.9","36.7","48.5","15.8","116.9","99.4"
"6","Jayson Tatum","Bos","F-G","25.1","69","37.3","32.9","12.2","585","0.853","825","0.552","648","0.344","0.536","0.6","30.1","8.9","4.7","1","0.7","3","39","34.8","43.7","11.6","117.4","107.4"
"7","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.4","110.8"
"8","Stephen Curry","Gol","G","35","49","34.8","30.9","14.2","254","0.913","426","0.592","556","0.428","0.62","0.663","29.6","6.2","6.3","0.9","0.3","3.3","35.8","35.9","42.1","12.1","123.4","112.1"
"9","LeBron James","Lal","F","38.2","47","36.1","33.3","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.1"
"10","Devin Booker","Pho","G","26.4","46","34.6","32","11.3","297","0.842","672","0.557","273","0.366","0.554","0.603","28.2","4.6","5.5","0.9","0.3","2.6","32.8","33.7","38.3","10.3","119.4","109.5"
"11","Kyrie Irving","Dal","G","31","14","37.6","28.8","9.6","72","0.931","161","0.584","113","0.389","0.584","0.633","27.6","5.4","6.1","1.1","0.5","2.1","33","33.8","39.1","10.3","127.2","111.4"
"12","Donovan Mitchell","Cle","G","26.5","63","35.5","31.9","11.4","331","0.867","695","0.56","587","0.378","0.563","0.606","27.5","4.2","4.5","1.5","0.4","2.6","31.7","32","36.2","9.1","117.8","107"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118","111.7"
"14","Trae Young","Atl","G","24.5","66","34.8","33.2","17.3","572","0.886","859","0.478","431","0.341","0.49","0.574","26.8","3.1","10","1.1","0.1","4.1","29.9","36.8","39.9","10.8","116.4","117.1"
"15","Jaylen Brown","Bos","G-F","26.4","62","36.1","31.2","12.4","333","0.772","813","0.572","454","0.346","0.553","0.586","26.7","6.9","3.4","1.1","0.4","2.9","33.6","30.1","37","9.5","110.9","106.8"
"16","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","111.3"
"17","Ja Morant","Mem","G","23.6","55","32.1","35.3","14.1","460","0.746","846","0.514","273","0.315","0.504","0.557","26.7","5.9","8.1","1.1","0.3","3.3","32.6","34.9","40.8","13.5","114.9","109.2"
"18","Anthony Davis","Lal","F-C","30","48","33.8","28.9","11.7","377","0.79","763","0.59","69","0.261","0.573","0.627","26.1","12.5","2.5","1","2","2.3","38.6","28.6","41.1","11.1","123.5","104.5"
"19","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.3","108.4"
"20","Mikal Bridges","Bro","F","26.6","18","34.5","28.7","8.8","110","0.9","209","0.55","113","0.398","0.567","0.626","25.8","4.6","2.4","0.8","0.7","1.7","30.3","28.2","32.7","7.6","120.2","114.6"
"21","Lauri Markkanen","Uta","F-C","25.8","64","34.4","26.4","10.1","381","0.871","609","0.591","493","0.4","0.595","0.647","25.7","8.6","1.9","0.6","0.6","1.9","34.3","27.5","36.2","8.7","126.5","112.7"
"22","Julius Randle","Nyk","F-C","28.3","75","35.9","29.5","13.1","526","0.757","782","0.552","626","0.343","0.536","0.582","25.4","10.1","4.2","0.6","0.3","2.8","35.5","29.6","39.7","11.4","116.9","106"
"23","De'Aaron Fox","Sac","G","25.3","66","33.8","30","12.4","407","0.771","877","0.582","327","0.339","0.562","0.603","25.3","4.2","6.1","1.2","0.3","2.6","29.4","31.3","35.5","10.2","118.9","112"
"24","DeMar DeRozan","Chi","G-F","33.6","66","36.5","28","10.7","487","0.871","1056","0.528","118","0.331","0.525","0.597","25.1","4.7","5","1.1","0.5","2.1","29.8","30.1","34.8","9.2","119.4","109"
"25","Zach LaVine","Chi","G-F","28","69","36.3","28.2","12.5","389","0.848","750","0.545","501","0.385","0.558","0.607","25","4.6","4.1","0.9","0.2","2.6","29.7","29.2","33.8","8.6","115.5","111"
"26","Nikola Jokic","Den","C","28.1","65","33.9","27.1","19","390","0.821","833","0.676","140","0.4","0.665","0.705","24.8","11.9","9.9","1.3","0.6","3.5","36.7","34.7","46.6","16.9","136","105.7"
"27","Anthony Edwards","Min","G","21.6","71","36","29.8","14.6","378","0.767","860","0.515","521","0.37","0.53","0.567","24.7","5.9","4.4","1.6","0.7","3.3","30.6","29.2","35","9.6","106.3","110.3"
"28","Pascal Siakam","Tor","F","29","64","37.5","27.3","11.7","441","0.762","926","0.516","263","0.335","0.513","0.563","24.3","7.8","6","0.8","0.5","2.5","32.1","30.3","38.1","11.1","117.7","108.9"
"29","Kawhi Leonard","Lac","F","31.7","45","33.8","26.8","9","243","0.872","541","0.555","209","0.421","0.576","0.628","23.9","6.3","3.9","1.5","0.5","1.6","30.2","27.8","34.1","9.9","126.3","110.8"
"30","Jalen Brunson","Nyk","G","26.6","65","35","27","10.4","378","0.833","828","0.517","304","0.411","0.544","0.595","23.8","3.6","6.2","0.9","0.2","2","27.4","30","33.5","9.3","124.7","112.2"
"31","Paul George","Lac","F","32.9","56","34.6","29.5","14.9","294","0.871","578","0.521","426","0.371","0.536","0.588","23.8","6.1","5.1","1.5","0.4","3.1","29.9","28.9","35","10.5","113.1","107.1"
"32","Brandon Ingram","Nor","F","25.6","36","33.2","30.7","15","203","0.877","508","0.498","143","0.392","0.518","0.575","23.7","5","5.2","0.7","0.4","3.2","28.7","28.9","33.9","10.3","110.1","108.2"
"33","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.3","108.6"
"34","Bradley Beal","Was","G","29.7","50","33.5","29.4","14.2","228","0.842","659","0.552","219","0.365","0.551","0.593","23.2","3.9","5.4","0.9","0.7","2.9","27.1","28.6","32.5","9.4","114","113.6"
"35","Kristaps Porzingis","Was","F-C","27.6","63","32.6","27.6","11.9","410","0.851","636","0.557","344","0.378","0.56","0.623","23","8.4","2.6","0.9","1.6","2.1","31.3","25.6","34","9.8","121.5","107"
"36","Jimmy Butler","Mia","F","33.5","59","33.4","25.9","10.5","518","0.851","730","0.555","95","0.347","0.551","0.641","22.9","6","5.1","1.9","0.4","1.6","28.9","28","34","10.6","134.4","110.6"
"37","Keldon Johnson","San","F-G","23.5","61","32.8","27.8","10.9","317","0.748","680","0.524","392","0.332","0.514","0.553","22","5.1","2.9","0.7","0.2","2.1","27.1","24.8","29.9","8.4","108.3","117.8"
"38","Jalen Green","Hou","G","21.1","68","34.1","28.2","13.1","397","0.793","716","0.468","503","0.336","0.483","0.535","21.9","3.9","3.6","0.8","0.3","2.7","25.8","25.5","29.4","7.9","107.8","118.9"
"39","Klay Thompson","Gol","G","33.1","63","33","26.4","8.9","126","0.873","480","0.477","660","0.406","0.554","0.574","21.8","4.2","2.4","0.7","0.4","1.8","26","24.2","28.4","7.3","109.3","114.6"
"40","Darius Garland","Cle","G","23.2","64","35.2","27","15.3","305","0.856","645","0.499","391","0.414","0.545","0.594","21.7","2.7","7.8","1.3","0.1","2.9","24.4","29.5","32.2","8.8","118.5","109"
"41","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.8","117.3"
"42","James Harden","Phi","G","33.6","53","36.9","25.3","18.7","346","0.867","388","0.497","389","0.383","0.536","0.61","21.4","6.3","10.8","1.2","0.5","3.4","27.7","32.2","38.6","12.3","124","109.9"
"43","Kyle Kuzma","Was","F","27.7","64","35","28","14.3","237","0.73","661","0.533","481","0.333","0.518","0.544","21.2","7.2","3.7","0.6","0.5","3","28.4","24.9","32.2","9.4","103","111.6"
"44","Desmond Bane","Mem","G","24.7","51","31.2","26.2","11.8","179","0.888","461","0.525","356","0.407","0.562","0.602","21.1","5","4.2","1","0.4","2.1","26.2","25.4","30.4","9.8","118.5","106.7"
"45","Terry Rozier","Cha","G","29","63","35.3","26.8","10.1","220","0.809","683","0.48","505","0.327","0.484","0.517","21.1","4.1","5.1","1.2","0.3","2.1","25.2","26.2","30.3","8.6","106","114.6"
"46","Anfernee Simons","Por","G","23.8","62","35","25.2","10.9","179","0.894","483","0.528","562","0.377","0.548","0.581","21.1","2.6","4.1","0.7","0.2","2.1","23.7","25.1","27.7","7","113.6","116.8"
"47","Bam Adebayo","Mia","C-F","25.7","69","35.2","25.5","14.6","386","0.803","1036","0.547","12","0.083","0.542","0.594","21","9.3","3.3","1.2","0.9","2.6","30.3","24.2","33.6","9.8","115.8","104.9"
"48","CJ McCollum","Nor","G","31.5","66","35.1","26.8","12.2","210","0.786","707","0.47","483","0.383","0.512","0.54","21","4.4","5.9","0.9","0.5","2.5","25.4","26.8","31.3","9.3","109.3","111.3"
"49","Jordan Clarkson","Uta","G","30.8","61","32.6","27.8","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109","115.9"
"50","Tyrese Haliburton","Ind","G","23.1","55","33.7","24","14.5","200","0.865","431","0.571","397","0.401","0.585","0.623","20.8","3.7","10.4","1.6","0.4","2.5","24.5","31.2","34.9","11","128.5","118.1"
"51","Karl-Anthony Towns","Min","C-F","27.4","22","33.4","25.4","17.5","108","0.889","201","0.602","120","0.333","0.564","0.621","20.8","8","5.2","0.8","0.6","3.1","28.8","26","34","11.4","117.7","104.7"
"52","Jerami Grant","Por","F","29","63","35.6","22.9","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.7","115.3"
"53","Dejounte Murray","Atl","G","26.5","66","36.4","24.6","10.9","162","0.827","830","0.506","358","0.352","0.513","0.537","20.5","5.4","6","1.5","0.3","2.2","25.9","26.5","31.9","9.6","111","115"
"54","Kelly Oubre Jr.","Cha","F-G","27.3","48","32.2","26.5","7.2","208","0.76","480","0.51","339","0.319","0.497","0.534","20.3","5.2","1.1","1.4","0.4","1.3","25.4","21.4","26.6","6.1","106.5","109.2"
"55","Jordan Poole","Gol","G","23.8","75","30.5","29","16.7","369","0.873","595","0.521","584","0.332","0.51","0.568","20.3","2.7","4.6","0.8","0.2","3.1","23","24.9","27.6","8.3","107.8","112.2"
"56","Tyler Herro","Mia","G","23.2","60","35.3","25.7","12.8","167","0.928","519","0.491","485","0.377","0.527","0.563","20.2","5.6","4.3","0.8","0.3","2.5","25.9","24.5","30.1","8.9","108.5","111.1"
"57","Tyrese Maxey","Phi","G","22.4","54","33.4","24.4","7.9","193","0.845","500","0.506","329","0.419","0.555","0.593","20.1","2.8","3.5","0.8","0.1","1.3","22.9","23.6","26.4","7","118.6","111.2"
"58","Jamal Murray","Den","G","26.1","59","33","26.3","12","202","0.827","570","0.489","387","0.395","0.531","0.566","20.1","4","6.1","1","0.2","2.2","24.1","26.2","30.2","9.6","115.8","114.3"
"59","Paolo Banchero","Orl","F","20.4","67","33.9","27.4","14.8","493","0.746","783","0.474","266","0.286","0.462","0.528","20","6.7","3.7","0.9","0.5","2.7","26.6","23.7","30.3","9.3","105.1","110.1"
"60","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100","112.5"
"61","RJ Barrett","Nyk","F-G","22.8","68","34","26.2","12.3","365","0.748","731","0.494","362","0.318","0.488","0.534","19.7","5.1","2.7","0.4","0.2","2.3","24.8","22.4","27.5","7.6","107.3","110.9"
"62","Fred VanVleet","Tor","G","29.1","62","36.9","23.2","11.2","256","0.895","463","0.456","547","0.347","0.491","0.544","19.7","4.2","7.1","1.7","0.5","2","23.9","26.8","30.9","9.1","116.9","110.1"
"63","Domantas Sabonis","Sac","F-C","26.9","71","34.8","21.3","19.7","397","0.763","767","0.636","78","0.346","0.625","0.667","19.2","12.5","7.3","0.8","0.5","2.9","31.6","26.4","38.9","13.9","132.7","105.7"
"64","Jrue Holiday","Mil","G","32.8","61","32.7","24.7","16.1","162","0.864","547","0.537","378","0.381","0.551","0.582","19","5","7.3","1.2","0.4","2.9","24","26.4","31.3","10.8","117.4","108.5"
"65","Devin Vassell","San","G-F","22.6","37","31.2","24.6","8.8","100","0.78","322","0.481","261","0.391","0.528","0.553","18.8","3.9","3.6","1.2","0.5","1.5","22.6","22.3","26.2","8.2","110.8","118.6"
"66","Franz Wagner","Orl","F","21.6","73","33","23.3","13","288","0.837","693","0.55","334","0.362","0.548","0.592","18.7","4","3.6","0.9","0.2","2.1","22.7","22.3","26.3","7.8","115.3","111.5"
"67","Kevin Porter Jr.","Hou","G-F","22.9","52","34","24.5","18.3","234","0.778","444","0.5","326","0.35","0.51","0.554","18.6","5.6","5.9","1.3","0.3","3.3","24.2","24.5","30.1","10","110.3","114.4"
"68","D'Angelo Russell","Lal","G","27.1","11","30.5","24.4","13.5","38","0.816","77","0.545","76","0.395","0.569","0.604","18.6","3.1","6.4","0.6","0.6","2.2","21.7","25","28.1","9.4","120","113.7"
"69","Deandre Ayton","Pho","C","24.7","61","30.4","23.4","11.8","181","0.751","803","0.598","24","0.292","0.593","0.616","18.3","10.1","1.8","0.6","0.8","1.8","28.5","20.1","30.3","9.1","118.9","105"
"70","Spencer Dinwiddie","Bro","G","30","18","35.5","23.7","14.4","95","0.8","149","0.51","107","0.299","0.484","0.544","18","4","8.4","1.2","0.3","2.4","22","26.4","30.4","9.5","114.8","112.4"
"71","Jaren Jackson Jr.","Mem","F-C","23.5","56","28.1","24.3","11.1","268","0.78","464","0.591","252","0.333","0.559","0.605","18","6.6","0.9","1","3","1.6","24.7","18.9","25.6","6.8","117.6","99.9"
"72","Myles Turner","Ind","C-F","27","62","29.4","22.1","12.3","276","0.783","484","0.638","250","0.372","0.611","0.651","18","7.5","1.4","0.6","2.3","1.7","25.5","19.4","26.9","7.8","121.7","107"
"73","D'Angelo Russell","Min","G","27.1","54","32.9","22.7","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.4","113.3"
"74","Spencer Dinwiddie","Dal","G","30","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","121","113.7"
"75","Gary Trent Jr.","Tor","G-F","24.2","63","32.6","21.7","5.5","198","0.838","470","0.494","437","0.371","0.524","0.561","17.7","2.7","1.6","1.6","0.2","0.8","20.4","19.3","22","5.2","116.4","113.8"
"76","Nikola Vucevic","Chi","C","32.4","73","34.1","21.7","11.1","141","0.83","711","0.588","323","0.35","0.568","0.589","17.7","11.3","3.3","0.8","0.8","1.8","29","21","32.3","10.2","117.3","105.8"
"77","Michael Porter Jr.","Den","F","24.7","56","29","22.4","8","108","0.815","323","0.579","402","0.42","0.608","0.627","17.3","5.4","1.1","0.7","0.5","1.1","22.7","18.4","23.8","6.5","118.8","110.6"
"78","Mikal Bridges","Pho","F","26.6","56","36.4","19.2","9.3","174","0.897","503","0.503","261","0.387","0.529","0.574","17.2","4.3","3.6","1.2","0.8","1.4","21.6","20.8","25.2","7.1","118.7","113"
"79","Christian Wood","Dal","F","27.5","61","26.7","26.6","13.6","265","0.777","464","0.599","262","0.366","0.581","0.623","17.2","7.7","1.9","0.5","1.1","1.9","24.9","19.1","26.7","9.5","117.1","106.1"
"80","Andrew Wiggins","Gol","F","28.1","37","32.2","21.5","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.7","109.9"
"81","Buddy Hield","Ind","G","30.3","74","31.6","20.9","11.9","119","0.824","344","0.517","631","0.423","0.593","0.611","17","5.1","2.7","1.2","0.3","1.8","22","19.7","24.7","7.8","114.6","114.6"
"82","O.G. Anunoby","Tor","F","25.7","60","35.6","19.6","13.9","161","0.839","468","0.53","316","0.386","0.55","0.583","16.6","5.1","1.9","2","0.7","2.1","21.7","18.5","23.6","6.1","111","108.5"
"83","Norman Powell","Lac","G","29.8","54","25.8","25.9","12.4","239","0.803","364","0.522","266","0.41","0.561","0.611","16.6","2.9","1.8","0.8","0.3","1.6","19.6","18.4","21.3","6.9","115.2","110"
"84","Aaron Gordon","Den","F","27.5","61","30.1","21","11.9","287","0.624","513","0.645","155","0.361","0.621","0.635","16.5","6.5","2.9","0.8","0.7","1.5","23.1","19.4","26","9","127","111.7"
"85","Bennedict Mathurin","Ind","G-F","20.8","70","27.8","24.9","13.1","394","0.83","563","0.485","284","0.324","0.485","0.563","16.4","3.9","1.4","0.6","0.1","1.8","20.3","17.8","21.7","6.4","109","115.1"
"86","Josh Giddey","Okc","G","20.5","69","30.9","24.5","16.5","118","0.754","797","0.526","204","0.324","0.517","0.534","16.3","7.9","6.1","0.8","0.4","2.9","24.2","22.4","30.3","11.9","109","110"
"87","Evan Mobley","Cle","C","21.8","73","34.4","20.5","13.9","288","0.681","784","0.593","98","0.214","0.563","0.589","16.3","9","2.7","0.8","1.4","1.9","25.2","19","28","8.5","116.9","103.5"
"88","Russell Westbrook","Lal","G","34.4","52","28.7","28.9","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.8","106.7"
"89","Cameron Johnson","Bro","F","27.1","17","30.7","21.5","7.2","68","0.824","91","0.527","115","0.339","0.517","0.57","15.8","4.8","1.8","1.5","0.3","0.9","20.6","17.6","22.4","6.7","114.4","110.2"
"90","Wendell Carter Jr.","Orl","C-F","23.9","51","30.1","20.8","15.5","181","0.746","364","0.621","198","0.348","0.586","0.619","15.6","8.9","2.4","0.5","0.6","2","24.4","17.9","26.8","9.2","118.4","106.1"
"91","Brook Lopez","Mil","C","35","71","30.6","19.2","10.9","163","0.773","471","0.626","345","0.377","0.6","0.623","15.6","6.7","1.3","0.5","2.5","1.4","22.3","16.9","23.6","6.7","120.9","105.1"
"92","Scottie Barnes","Tor","F","21.6","69","34.9","20.4","13.3","230","0.774","711","0.498","205","0.298","0.486","0.525","15.5","6.9","4.7","1","0.8","2","22.3","20.2","27.1","9.1","112.8","111.9"
"93","De'Andre Hunter","Atl","F-G","25.3","63","31.9","19.6","9.3","202","0.822","501","0.519","269","0.361","0.527","0.569","15.5","4.2","1.4","0.5","0.3","1.3","19.7","16.9","21.2","5.6","112.3","111.3"
"94","Jaden Ivey","Det","G","21.1","66","30.6","24.8","19.4","319","0.73","542","0.456","293","0.331","0.47","0.522","15.4","3.9","4.9","0.8","0.3","3","19.3","20.4","24.2","8.7","102.5","112.2"
"95","P.J. Washington","Cha","F","24.6","70","32.8","20.2","10.3","167","0.725","519","0.514","407","0.342","0.513","0.536","15.3","4.8","2.3","0.9","1.1","1.5","20.1","17.7","22.5","6.7","106.1","111.3"
"96","Kevin Huerter","Sac","G-F","24.6","67","29.6","19.6","10.4","122","0.713","311","0.601","453","0.411","0.61","0.623","15.2","3.3","3","1.1","0.3","1.3","18.5","18.2","21.5","7.2","119.9","111.4"
"97","Harrison Barnes","Sac","F","30.8","73","32.7","17","9.9","368","0.845","383","0.554","323","0.375","0.557","0.633","15","4.6","1.6","0.7","0.1","1.1","19.7","16.6","21.3","5.9","126.2","116.3"
"98","Tobias Harris","Phi","F","30.7","68","33.2","18.4","9.6","120","0.867","490","0.571","302","0.394","0.579","0.604","15","5.9","2.5","1","0.6","1.2","20.9","17.5","23.4","7.3","118.9","109.3"
"99","Khris Middleton","Mil","F","31.6","28","24.2","27.4","15.9","88","0.898","202","0.505","137","0.328","0.5","0.553","14.9","4.1","5","0.8","0.2","2.3","19","19.9","24","11.1","112.7","104.2"
"100","Jakob Poeltl","Tor","C","27.4","18","28.7","17.9","10.5","64","0.594","170","0.676","0","0","0.676","0.676","14.9","9.4","2.4","1.4","1.6","1.1","24.3","17.3","26.7","9.7","136.3","102.5"
"101","Saddiq Bey","Det","F","24","52","28.8","21.3","8.2","209","0.861","313","0.46","293","0.345","0.488","0.552","14.8","4.7","1.6","1","0.2","1","19.5","16.4","21.1","6.7","114.7","116"
"102","Devonte' Graham","San","G","28.1","15","27.5","21.3","10.7","57","0.772","44","0.455","123","0.374","0.533","0.578","14.8","2.6","4.4","0.7","0.3","1.3","17.4","19.2","21.8","8","120.3","119.5"
"103","Alperen Sengun","Hou","C","20.7","67","28.5","21.4","19","256","0.723","656","0.575","50","0.3","0.566","0.601","14.7","8.7","3.8","0.9","0.9","2.5","23.4","18.5","27.2","11","118.1","107.9"
"104","Malcolm Brogdon","Bos","G","30.3","61","25.8","22.5","12.3","162","0.877","379","0.504","268","0.451","0.576","0.617","14.5","4.2","3.6","0.6","0.3","1.5","18.8","18.1","22.4","9.3","121.6","108.8"
"105","Gordon Hayward","Cha","F","33","49","31.5","19.9","14.5","154","0.805","408","0.532","159","0.321","0.518","0.56","14.5","4.3","4.1","0.9","0.2","2","18.8","18.6","22.9","8.1","109.9","115.4"
"106","Jarrett Allen","Cle","C","24.9","64","33","16.4","13.2","207","0.729","583","0.652","9","0.111","0.644","0.669","14.3","9.9","1.7","0.8","1.2","1.4","24.2","16","25.8","7.5","132.4","104.6"
"107","Collin Sexton","Uta","G","24.2","47","24","23.1","15.4","197","0.822","338","0.538","117","0.41","0.558","0.618","14.3","2.2","2.9","0.6","0.1","1.8","16.5","17.1","19.3","7.5","120","112.4"
"108","Jonas Valanciunas","Nor","C","30.9","70","24.8","23.4","16.1","203","0.828","621","0.588","101","0.347","0.578","0.618","14.3","9.9","1.7","0.3","0.6","2","24.2","16","25.9","10","117.9","100.4"
"109","Dillon Brooks","Mem","G-F","27.2","66","30.3","21.7","9.3","137","0.788","509","0.442","386","0.326","0.463","0.49","14.2","3.3","2.5","0.9","0.2","1.4","17.4","16.7","20","6.5","102.1","105.2"
"110","Bogdan Bogdanovic","Atl","G","30.6","47","28.3","20.1","9.9","70","0.814","228","0.491","316","0.402","0.556","0.576","14.1","3.1","2.8","0.8","0.4","1.3","17.2","16.9","20","7","114.2","114.7"
"111","Russell Westbrook","Lac","G","34.4","13","30","24.3","24.2","43","0.698","110","0.545","40","0.275","0.51","0.542","14.1","5.2","7.3","1.2","0.4","3.7","19.2","21.4","26.5","10.8","106.2","108"
"112","Markelle Fultz","Orl","G","24.8","53","30.2","21.3","17.6","137","0.796","530","0.536","74","0.297","0.525","0.559","14","4.1","5.7","1.5","0.4","2.4","18.1","19.7","23.8","9.1","112.3","109.4"
"113","Tim Hardaway Jr.","Dal","G-F","31","65","30.2","20.7","6.6","148","0.764","270","0.419","505","0.376","0.514","0.541","14","3.6","1.8","0.7","0.2","0.8","17.6","15.7","19.3","6","108.1","114.4"
"114","Cameron Johnson","Pho","F","27.1","17","25.3","19.6","5.5","33","0.818","74","0.5","99","0.455","0.604","0.629","13.9","3.8","1.5","0.9","0.4","0.6","17.7","15.4","19.2","6.8","127.5","110.8"
"115","Luguentz Dort","Okc","G","23.9","67","30.5","19.8","9.6","220","0.782","415","0.439","374","0.345","0.476","0.521","13.8","4.4","2.2","1","0.3","1.3","18.2","15.9","20.4","6.7","109.9","107.9"
"116","Rudy Gobert","Min","C","30.7","62","30.7","16.6","17.5","308","0.643","493","0.669","3","0","0.665","0.679","13.8","11.5","1.1","0.8","1.4","1.7","25.3","14.9","26.4","7.3","128.9","104.3"
"117","Chris Paul","Pho","G","37.9","52","32","19.3","14.8","148","0.824","365","0.477","222","0.36","0.501","0.544","13.7","4.3","9.1","1.6","0.4","2","17.9","22.8","27.1","10.2","121.2","109.7"
"118","Bobby Portis","Mil","F","28.1","62","25.9","21.5","9.5","106","0.774","485","0.567","214","0.341","0.55","0.571","13.7","9.5","1.6","0.4","0.2","1.2","23.3","15.3","24.9","9.2","116.9","104"
"119","Immanuel Quickley","Nyk","G","23.8","74","28.5","20","9.4","205","0.829","409","0.521","396","0.354","0.525","0.567","13.7","4.1","3.2","0.9","0.2","1.1","17.8","17","21.1","7.9","120.6","110.1"
"120","Malik Monk","Sac","G","25.1","70","22.4","25.9","15.6","196","0.888","363","0.537","362","0.354","0.534","0.584","13.5","2.7","3.9","0.6","0.3","1.9","16.2","17.4","20.1","9.3","113.7","112.7"
"121","Trey Murphy III","Nor","F","22.8","70","30.1","16.3","7.6","142","0.908","261","0.602","422","0.398","0.599","0.635","13.5","3.7","1.4","1.1","0.5","0.8","17.2","14.9","18.6","5.5","125.4","110.2"
"122","Jalen Williams","Okc","G-F","21.9","68","30","18","13.5","169","0.793","512","0.578","187","0.348","0.563","0.595","13.5","4.5","3.2","1.3","0.5","1.6","18","16.8","21.3","7.7","117.6","109.1"
"123","Malik Beasley","Uta","G","26.3","55","26.7","21.3","8.2","44","0.841","198","0.485","471","0.359","0.522","0.535","13.4","3.6","1.7","0.8","0.1","1.1","17","15.1","18.7","6.5","107.5","115.3"
"124","Jusuf Nurkic","Por","C","28.6","52","26.7","22.3","19.1","192","0.661","386","0.567","119","0.361","0.561","0.589","13.3","9.1","2.9","0.8","0.8","2.3","22.4","16.2","25.3","10.6","113.1","103.1"
"125","James Wiseman","Det","C","22","16","26.2","21.6","14.1","34","0.647","156","0.583","14","0.214","0.562","0.576","13.3","8.7","0.6","0.2","0.9","1.8","22","13.9","22.6","6.3","107.9","108.1"
"126","Mike Conley","Min","G","35.5","16","31.5","16.2","10.9","39","0.923","65","0.492","90","0.411","0.565","0.613","13.2","3.2","5.3","1.3","0.2","1.2","16.4","18.5","21.7","7.7","128.9","115.3"
"127","Eric Gordon","Hou","G","34.2","47","30.2","18.2","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.5","122.2"
"128","Rui Hachimura","Was","F","25.1","30","24.3","23.2","10","58","0.759","235","0.545","89","0.337","0.534","0.558","13","4.3","1.2","0.4","0.4","1.2","17.3","14.2","18.4","6.7","106.3","113.7"
